Country,Initials,Host,Year,Attendance,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach,Comebacks,Bottled,Draw,HT victory,2nd HF win,NT win,NT loss,NT draw,ET win,ET loss,GG win,GG loss,PEN win,PEN loss
Algeria,ALG,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Chile,1962,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Spain,1982,80000,Group stage,Chile,Eliminated in the group stages,5,5,3,2,0,1,66.67,MEKHLOUFI Rachid (ALG),0,0,0,1,1,2,1,0,0,0,0,0,0,0
Algeria,ALG,Mexico,1986,93980,Group stage,Spain,Eliminated in the group stages,1,5,3,0,1,2,0.0,SAADANE Rabah (ALG),0,0,0,0,0,0,2,1,0,0,0,0,0,0
Algeria,ALG,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,USA,1994,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,France,1998,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Algeria,ALG,South Africa,2010,130252,Group stage,USA,Eliminated in the group stages,0,2,3,0,1,2,0.0,SAADANE Rabah (ALG),0,0,1,0,0,0,2,1,0,0,0,0,0,0
Algeria,ALG,Brazil,2014,181819,Round of 16,Germany,Eliminated by Germany,7,7,4,1,1,2,25.0,HALILHODZIC Vahid (BIH),0,1,0,1,0,1,1,1,0,1,0,0,0,0
Angola,ANG,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Angola,ANG,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Angola,ANG,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Angola,ANG,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Angola,ANG,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
