Country,Initials,Year,0-15,16-30,31-45,46-60,61-75,76-90,ET,Yellows,Reds
Algeria,ALG,1930,,,,,,,,,
Algeria,ALG,1934,,,,,,,,,
Algeria,ALG,1938,,,,,,,,,
Algeria,ALG,1950,,,,,,,,,
Algeria,ALG,1954,,,,,,,,,
Algeria,ALG,1958,,,,,,,,,
Algeria,ALG,1962,,,,,,,,,
Algeria,ALG,1966,,,,,,,,,
Algeria,ALG,1970,,,,,,,,,
Algeria,ALG,1974,,,,,,,,,
Algeria,ALG,1978,,,,,,,,,
Algeria,ALG,1982,1,0,2,1,1,0,0,2,0
Algeria,ALG,1986,0,0,0,1,0,0,0,2,0
Algeria,ALG,1990,,,,,,,,,
Algeria,ALG,1994,,,,,,,,,
Algeria,ALG,1998,,,,,,,,,
Algeria,ALG,2002,,,,,,,,,
Algeria,ALG,2006,,,,,,,,,
Algeria,ALG,2010,0,0,0,0,0,0,0,8,2
Algeria,ALG,2014,0,2,1,1,1,0,1,6,0
Angola,ANG,1930,,,,,,,,,
Angola,ANG,1934,,,,,,,,,
Angola,ANG,1938,,,,,,,,,
Angola,ANG,1950,,,,,,,,,
Angola,ANG,1954,,,,,,,,,
Angola,ANG,1958,,,,,,,,,
Angola,ANG,1962,,,,,,,,,
Angola,ANG,1966,,,,,,,,,
Angola,ANG,1970,,,,,,,,,
Angola,ANG,1974,,,,,,,,,
Angola,ANG,1978,,,,,,,,,
Angola,ANG,1982,,,,,,,,,
Angola,ANG,1986,,,,,,,,,
Angola,ANG,1990,,,,,,,,,
Angola,ANG,1994,,,,,,,,,
Angola,ANG,1998,,,,,,,,,
Angola,ANG,2002,,,,,,,,,
Angola,ANG,2006,0,0,0,1,0,0,0,11,1
Angola,ANG,2010,,,,,,,,,
Angola,ANG,2014,,,,,,,,,
Argentina,ARG,1930,4,3,1,4,1,5,0,0,0
Argentina,ARG,1934,1,0,0,1,0,0,0,0,0
Argentina,ARG,1938,,,,,,,,,
Argentina,ARG,1950,,,,,,,,,
Argentina,ARG,1954,,,,,,,,,
Argentina,ARG,1958,1,0,0,2,0,0,0,0,0
Argentina,ARG,1962,1,0,0,0,0,1,0,1,0
Argentina,ARG,1966,0,0,0,1,1,2,0,3,2
Argentina,ARG,1970,,,,,,,,,
Argentina,ARG,1974,1,3,1,2,2,0,0,8,0
Argentina,ARG,1978,1,2,2,2,4,1,2,5,0
Argentina,ARG,1982,0,2,0,3,0,2,0,7,2
Argentina,ARG,1986,2,2,2,5,1,2,0,12,0
Argentina,ARG,1990,0,1,0,0,2,2,0,24,3
Argentina,ARG,1994,1,2,1,1,1,0,0,9,0
Argentina,ARG,1998,0,2,3,1,1,1,0,11,1
Argentina,ARG,2002,0,0,0,0,1,1,0,6,1
Argentina,ARG,2006,2,1,3,1,0,3,1,12,0
Argentina,ARG,2010,1,1,2,1,0,4,0,7,0
Argentina,ARG,2014,2,0,1,1,1,1,1,8,0
Australia,AUS,1930,,,,,,,,,
Australia,AUS,1934,,,,,,,,,
Australia,AUS,1938,,,,,,,,,
Australia,AUS,1950,,,,,,,,,
Australia,AUS,1954,,,,,,,,,
Australia,AUS,1958,,,,,,,,,
Australia,AUS,1962,,,,,,,,,
Australia,AUS,1966,,,,,,,,,
Australia,AUS,1970,,,,,,,,,
Australia,AUS,1974,0,0,0,0,0,0,0,2,1
Australia,AUS,1978,,,,,,,,,
Australia,AUS,1982,,,,,,,,,
Australia,AUS,1986,,,,,,,,,
Australia,AUS,1990,,,,,,,,,
Australia,AUS,1994,,,,,,,,,
Australia,AUS,1998,,,,,,,,,
Australia,AUS,2002,,,,,,,,,
Australia,AUS,2006,0,0,0,0,0,4,0,11,1
Australia,AUS,2010,1,0,0,0,2,0,0,7,2
